timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.52968E+15,1,-4,-9,-3,-2,-8,-12,-2
1.52968E+15,-5,-10,46,18,3,8,18,-3
1.52968E+15,5,5,-8,-9,1,7,2,8
1.52968E+15,-6,17,-2,-11,-9,-9,-8,-17
1.52968E+15,2,3,-5,3,3,2,-2,-5
1.52968E+15,-1,-19,-19,-8,-3,-1,-16,5
1.52968E+15,-4,-2,20,3,-5,-6,-2,-3
1.52968E+15,4,4,3,3,0,-7,4,1
1.52968E+15,-4,3,-8,-5,-1,0,-8,-3
1.52968E+15,2,13,7,-2,-2,-2,13,-4
1.52968E+15,0,-2,11,11,4,-5,-2,0
1.52968E+15,5,2,16,1,-1,-3,-6,1
1.52968E+15,-7,0,-40,-21,-6,3,-6,-6
1.52968E+15,-5,-8,-5,-8,-7,-6,9,-12
1.52968E+15,-2,4,-3,-4,-7,-7,-8,-10
1.52968E+15,-2,-5,-19,-1,4,8,12,17
1.52968E+15,5,8,6,18,7,1,7,11
1.52968E+15,0,3,28,-2,-4,3,-3,8
1.52968E+15,1,-3,0,5,-2,-4,2,-2
1.52968E+15,-2,-1,-16,-10,-2,8,5,-2
1.52968E+15,2,-8,19,4,-4,0,1,-1
1.52968E+15,-2,-14,-12,1,1,-17,-17,-2
1.52968E+15,3,8,22,1,6,16,34,6
1.52968E+15,3,-2,-18,-3,4,16,-5,6
1.52968E+15,-1,14,8,4,5,11,10,-7
1.52968E+15,-4,-9,-6,-5,-5,-12,-1,3
1.52968E+15,0,-4,0,5,2,-2,-3,0
1.52968E+15,-3,2,1,5,5,15,21,-2
1.52968E+15,-3,-3,6,-9,-10,-26,-8,5
1.52968E+15,-1,1,-17,-5,0,9,-14,-4
1.52968E+15,-1,1,2,1,-1,-12,-12,1
1.52968E+15,-3,-7,0,-3,-3,-2,18,19
1.52968E+15,-1,-2,17,2,-2,-2,-12,-9
1.52968E+15,2,1,3,9,3,-3,3,-4
1.52968E+15,4,9,-13,-10,-4,-9,-6,3
1.52968E+15,-7,-27,0,-20,-10,-2,-4,-6
